antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
rich,perimeter,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,coextensive with,0.5,0.075,0.075,0.15,2.0,0.0375,1.0882352941176472
rich,religion or worldview,0.5,0.075,0.075,0.15,2.0,0.0375,1.0882352941176472
rich,external data available at URL,0.5,0.1,0.1,0.2,2.0,0.05,1.125
rich,designated as terrorist by,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,subclass of,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,carbon footprint,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,nickname,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,annual number of weddings,0.5,0.075,0.075,0.15,2.0,0.0375,1.0882352941176472
rich,vehicles per thousand people,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,age of consent,0.5,0.125,0.125,0.25,2.0,0.0625,1.1666666666666667
rich,length,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,panoramic view,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,said to be the same as,0.5,0.05,0.05,0.1,2.0,0.025,1.0555555555555556
rich,GS1 country code,0.5,0.5,0.5,1.0,2.0,0.25,inf
rich,compulsory education (minimum age),0.5,0.325,0.325,0.65,2.0,0.1625,1.9285714285714288
rich,Democracy Index,0.5,0.525,0.5,1.0,1.9047619047619047,0.2375,inf
